悪,24746,11
悲,24754,12
悴,24756,11
悶,24758,12
悸,24760,11
悼,24764,11
悽,24765,11
情,24773,11
惑,24785,12
惚,24794,11
惜,24796,11
惨,24808,11
惰,24816,12
想,24819,13
惶,24822,12
惻,24827,12
愁,24833,13
愉,24841,12
意,24847,13
愒,24850,11
愚,24858,13
愛,24859,13
感,24863,13
愧,24871,13
愬,24876,14
愴,24884,13
慄,24900,13
慇,24903,14
慈,24904,14
態,24907,14
慌,24908,13
慎,24910,13
慙,24921,15
慟,24927,14
慢,24930,14
慧,24935,15
慨,24936,14
慮,24942,15
慶,24950,15
慷,24951,14
憂,24962,15
憊,24970,16
憎,24974,15
憐,24976,16
憔,24980,15
憤,24996,15
憲,25010,16
憺,25018,16
憾,25022,16
懃,25027,17
懇,25031,17
懈,25032,16
懊,25034,15
懐,25040,15
懦,25062,17
懲,25074,19
懶,25078,19
懸,25080,20
懼,25084,21
戈,25096,4
戎,25102,6
成,25104,7
我,25105,7
戒,25106,7
戚,25114,12
戟,25119,12
戢,25122,13
戦,25126,13
截,25130,14
戮,25134,15
戯,25135,15
戴,25140,18
戸,25144,4
戻,25147,7
房,25151,8
所,25152,8
扇,25159,10
扈,25160,11
手,25163,4
才,25165,4
打,25171,5
托,25176,6
扛,25179,6
扶,25206,7
批,25209,7
扼,25212,7
承,25215,8
技,25216,7
抃,25219,7
抉,25225,7
抑,25233,7
抒,25234,7
投,25237,8
抗,25239,7
折,25240,7
抜,25244,7
択,25246,7
披,25259,8
抱,25265,8
抹,25273,8
抽,25277,8
拇,25287,8
拈,25288,8
拍,25293,8
拙,25305,8
招,25307,8
拝,25309,8
拠,25312,8
拡,25313,8
括,25324,9
拱,25329,9
拳,25331,10
拾,25342,9
持,25345,9
指,25351,9
挈,25352,10
按,25353,9
挐,25360,10
挑,25361,9
挙,25369,10
挫,25387,10
振,25391,10
挽,25405,11
挿,25407,10
捉,25417,10
捕,25429,10
捧,25447,11
捨,25448,11
捲,25458,12
捷,25463,11
掃,25475,11
授,25480,11
掉,25481,11
掌,25484,12
排,25490,11
掖,25494,11
掘,25496,11
採,25505,11
探,25506,11
掣,25507,12
接,25509,11
推,25512,11
掩,25513,14
措,25514,11
掲,25522,11
掻,25531,11
揆,25542,12
揉,25545,12
描,25551,12
提,25552,12
揖,25558,12
揚,25562,12
換,25563,12
握,25569,12
揣,25571,12
揮,25582,12
援,25588,12
揺,25594,12
損,25613,13
搏,25615,13
摂,25666,13
摘,25688,14
摧,25703,14
摩,25705,15
摽,25725,14
撃,25731,15
撈,25736,15
撒,25746,15
撓,25747,15
撞,25758,15
撤,25764,15
撥,25765,15
撫,25771,15
播,25773,15
撰,25776,15
撲,25778,15
撼,25788,16
擁,25793,16
操,25805,14
擒,25810,16
擠,25824,17
擲,25842,18
擺,25850,18
擾,25854,18
擿,25855,18
攀,25856,19
攘,25880,20
攣,25891,23
攫,25899,23
攬,25900,23
支,25903,4
改,25913,7
攻,25915,7
放,25918,8
政,25919,8
故,25925,9
敏,25935,11
救,25937,11
敗,25943,11
教,25945,11
敝,25949,12
敢,25954,11
散,25955,12
敦,25958,13
敬,25964,13
数,25968,13
敲,25970,14
整,25972,16
敵,25973,15
敷,25975,15
斂,25986,17
文,25991,4
斉,25993,9
斎,25998,11
斐,26000,12
斑,26001,12
斗,26007,4
料,26009,10
斛,26011,11
斟,26015,13
斤,26020,4
斥,26021,5
斧,26023,8
斬,26028,11
断,26029,11
新,26032,13
斲,26034,14
方,26041,4
施,26045,9
旁,26049,10
旄,26052,10
旅,26053,10
旋,26059,11
旌,26060,11
族,26063,11
旗,26071,14
无,26080,4
既,26082,9
日,26085,4
旦,26086,5
旧,26087,5
旨,26088,6
早,26089,6
旭,26093,6
旰,26096,7
旱,26097,7
昂,26114,8
昃,26115,8
昆,26118,8
昇,26119,9
明,26126,8
